원문,번역문
원활한 이벤트 진행을 위해 회원가입은 크롬이나 사파리 브라우져를 이용해주세요.,"For smooth event progress, please use Chrome or Safari browser to join in our site."
그의 닉네임은 웅 이며 나이는 27세 한국에 거주하고 있습니다.,"His nickname is Woong, he's 27 and currently lives in Seoul."
문제가 없도록 확실히 하는 중이에요.,We're making sure that there is no trouble.
사회는 활동적이지 못하게 변화될 수 있어.,Society can change inactively.
나는 안드레아에게 사랑한다고 말했어요.,I said to Andrea that I love him.
이곳에는 이전에 나랑 같이 일하던 사람들도 많아.,There are many people whom I worked with before.
왜곡 영상으로부터 왜곡 중심점을 찾는 방법에 대해 알려드리겠습니다.,I'll let you know how to how to seek for the distortion center from the distortion video.
"내가 그녀에게 이웃들과 얘기했냐고 물어봤을 때 멜리사는 말했다, 내가 말하는 거?","When I asked her if she had chatted with her neighbors, Melissa asked if it was about what she had said."
너의 주문은 아마도 다음 달에 배송이 될 것 같아.,Your order will be probably delivered next month.
당신이 우리에게 말해도 우리는 잘 몰라.,We don't know even if you talk to us a lot about it.
두번째 애기를 낳을수 있기 때문입니다.,"Secondly, it is because we can give birth to a child."
그 경기는 한국과 이탈리아의 대결이었어요.,It was a game between Korea and Italy.
나는 귤을 좋아하니까 귤이 필요해요.,I need mandarin oranges because I like them.
완전경쟁에 대한 가정이 완벽하게 적용되는 시장들이 있어요.,There are some markets in which the assumption of perfect competition applies perfectly.
내 인생 속의 모토는 무언가의 일을 열심히 마친 후 휴식을 즐기자 입니다.,My life motto is to work hard and to play hard.
관계를 유지하기 위해 안 받는 것을 조언합니다.,I advise you not to take it for the sake of a better relationship.
그것은 남자와 여자를 창조하셔서 연합게 하신 하나님의 창조 원리를 위배해요.,It violates the creation principle of God who created man and woman and combined them.
삼성자동차 프레스 라인 설계팀과 미팅 중에 당사가 적용된 레퍼런스가 있는지 문의가 있었습니다.,"There was an inquiry over if there is any reference applied to us, during the meeting with Samsung Motors press line design team."
모두들 우리가 해야 할 일을 합시다.,Everybody let's do what we should do.
너처럼 성실하고 신뢰 가는 사람으로 소개해 주길 바란다.,I hope you introduce me to someone is just as diligent and reliable as you.
당신이 주문한 제품이 나의 실수로 인해 항공소형 포장물로 발송되었습니다.,The product you ordered has been sent by small air parcel due to my mistake.
그 당시에 저는 제 갈 길을 가고 필요하다면 직접 약속을 해서 그들을 만날 수 있다고 생각했습니다.,"At that time, I thought I go my own way and, if I need, make an appointment directly to meet them."
나는 오늘 요가를 한 시간 했습니다.,I did yoga for an hour today.
앉으실 자리는 이쪽이 되겠습니다.,Here are your seats.
목표를 정하는 것은 단순해 보일지 몰라도 공부를 하는 데 있어서 큰 도움이 될 것이에요.,"Setting a goal may seem simple, but it will help you a lot in studying."
그녀는 전철을 타고 신문을 봅니다.,She takes a train and reads the newspaper.
이것은 한국을 대표하는 공예품이에요.,This is the representative craft of Korea.
불 켜지 말고 그냥 밥이나 먹어.,Don't turn the light on and please just eat.
"영화는 1관에서 상영하고요, 두 분 입장 가능합니다.","The movie is played at theater 1, and you both can go in."
당신은 무엇을 위해 싸운 건가요?,What did you fight for?
당신이 아직 나를 잊지 않았을 것이라 믿어요.,I believe you haven't forgotten me yet.
부품번호 수정되면 알려주세요.,Please let me know when the component number is changed.
가난한 학생은 교복을 사는 것조차 힘들어요.,The poor students can't even afford to buy uniforms.
난 피겨 스케이팅의 결과를 이해할 수 없어.,I can't understand the result of figure skating.
경기장 근처를 조금 돌아다녀 보면 숙박할 수 있는 시설이 많이 있습니다.,There are lots of accommodations if you move around the venue just a little.
어린이 공원에 조그마한 동물원이 있습니다.,There's a little zoo in the children's park.
저는 그녀가 만난 지 10 년이나 되었습니다.,It has been 10 years since I met her.
송도 센트럴파크나 미추홀 공원과 도보로 10분 거리에 있어요.,It is 10 minutes away by walk from Songdo Central Park or Michuhall Park.
송금하고 바로 연락 드리겠습니다.,I will call you right after I transfer the money.
가을에 곡식을 거둔 뒤 이웃과 함께 음식을 나눠 먹는 날.,The day sharing food with neighborhood after harvesting.
기운 내고 우리가 도울 일이 있으면 이야기해라.,Cheer up and call us for help on anything that we can help.
오늘 기분이 우울했는데 네 덕분에 괜찮아졌어.,"I felt depressed today, but I got better thanks to you."
여행을 위해 독일의 문화뿐만 아니라 독일어를 배우고 싶습니다.,I am willing to learn not only German culture but also the language to travel there.
그것은 애인에게만 보여 주는 것이에요.,That is shown only to sweetheart.
저는 당신이 보낸 엑셀 파일은 확인했고 그 가격 구조로 협의가 이루어지면 좋겠습니다.,I checked the excel file you sent and I wish the negotiation to be made with the price structure.
내 캐비닛에는 항상 초콜릿이 있습니다.,There is always chocolate in my cabinet.
우리 모두 이 황금 같은 기회를 잡읍시다.,Let's catch this golden opportunity.
동생에게 생일 선물로 의자를 선물했습니다.,I gave a chair to my brother as a birthday gift.
내 생각에 가족은 많을수록 좋은 것 같아.,"I think the more family members are, the better it is."
우리 애들과도 많은 시간을 보내고 있고요.,They usually spend a lot of time with children.
미안하지만 언어의 벽이 생각보다 크네요.,I'm sorry but the language gap between us is bigger than I thought.
저는 그 사람이 죽어버렸으면 좋겠어요.,I wish he was dead.
우리는 정확한 일정을 정해요.,We fix an accurate schedule.
당신의 사진을 보고 오늘밤 잠들고 싶지 않습니다.,"Looking at your pictures, I do not want to sleep tonight."
나는 앞으로 그가 더 잘해줄 거라고 믿어.,I believe he will do better in the future.
앞으로 당신 회사의 계획이 궁금합니다.,We are curious of your company's future plans.
일반적으로 T 유전자는 S cell에 특이하게 발현된다는 게 이미 알려져 있습니다.,"In general, it is known that T-gene is uniquely expressed with S-sell."
"다니엘은 샘을 도와주지만, 계획은 실패하게 됩니다.",Daniel helps Sam but their plan fails.
난 우리가 좋은 커플이 될 거라고 믿었어요.,I believed that we can be a good couple.
나의 가장 친한 친구 박하연을 소개하겠습니다.,I will introduce my best friend Park Ha-yeon.
나는 비자 때문에 잠깐 한국 갔다 와야 할 거 같아.,I think I'm going to have to go to Korea for my visa.
그러니까 우선 현실에 대해 이야기해보자.,Therefore let's talk about reality first of all.
오늘이 지나면 한동안 시간이 없어요.,I don't have time for a while after today.
요즘 눈코 뜰 새 없이 바쁩니다.,I'm busy as a bee these days.
저는 영국지도부는 미국의 참전을 이끌었고 독일의 지도부도 결국 그들의 정치적 오판으로 인해 미국의 참전을 이끌었다고 생각합니다.,"I think the British leadership led the American war, and the German leadership eventually led the American war because of their political misjudgment."
우리는 서두를 필요 없어요.,We don't need to hurry.
이것 좀 전해 줄 수 있어요?,Could you hand it over?
미래의 계획을 세우는 중이다 매우 스트레스 받는다.,"Planning for my future right now, it's kinda stressing me out."
"나가사키는 다른 라면들에 비해 매우 쫄깃한 면발을 가지고 있어서, 면발 분야에서는 4점이라는 높은 점수를 받았습니다.","Nagasaki has elastic noodles compared to the others, it had 4 points highly."
모듈을 선택할 때 모듈에 대한 정보가 없어 실수로 아케이드 모듈을 선택해 버렸습니다.,"When selecting a module, I didn't have any information about modules, so I selected an arcade module by mistake."
우리는 비즈니스 하는 사이에요.,We are business acquaintances.
